,links
9790,https://www.swiggy.com/bangalore/china-pearl-koramangala-koramangala
9791,https://www.swiggy.com/bangalore/anupams-coast-ii-coast-6th-block-koramangala
9792,https://www.swiggy.com/bangalore/dominos-pizza-rbi-layout-jp-nagar
9793,https://www.swiggy.com/bangalore/onesta-jp-nagar-jp-nagar
9794,https://www.swiggy.com/bangalore/anjappar-jp-nagar-jp-nagar
9795,https://www.swiggy.com/bangalore/churchills-jp-nagar-jp-nagar
9796,https://www.swiggy.com/bangalore/baskin-robbins-jp-nagar-jp-nagar
9797,https://www.swiggy.com/bangalore/cake-turn-jp-nagar
9798,https://www.swiggy.com/bangalore/crumb-together-jp-nagar-jp-nagar
9799,https://www.swiggy.com/bangalore/spicy-world-jp-nagar
9800,https://www.swiggy.com/bangalore/homely-3rd-phase-jp-nagar
9801,https://www.swiggy.com/bangalore/udupi-upachar-jp-nagar-jp-nagar
